item_string,recall,max_arousal,min_valence,emotional_power,passage
The Glasgow Coma Scale looks at ,0.8571428571428571,3.8,1.89,5.0600000000000005,4
"If there is pain, ",0.4375,6.27,2.0,4.27,3
Victims of lightning strikes ,0.3888888888888889,6.75,2.05,3.3200000000000003,2
The other type of wound is an open head injury.   ,0.9285714285714286,5.56,2.32,3.2399999999999998,4
"internal injury, fracture, or spinal injury.   ",0.3333333333333333,5.56,2.32,3.2399999999999998,2
may cause burn and additional injury.   ,0.2777777777777778,5.56,2.32,3.2399999999999998,2
One symptom of this injury ,0.35714285714285715,5.56,2.32,3.42,4
One type of head wound is a closed head injury.   ,0.9285714285714286,5.56,2.32,3.42,4
Prevent additional sicknesses ,0.21428571428571427,4.18,2.4,3.65,4
This kind of wound may result in extensive bleeding.   ,0.5,5.0,2.47,4.59,4
and strain out all pus.   ,0.5,5.0,2.52,2.48,1
to soak up any excess pus or blood.   ,0.5,5.76,2.52,3.05,1
increased inflammation and pus collection. ,0.125,5.06,2.52,2.7800000000000002,1
promote pus straining in smaller abscesses.   ,0.5,5.0,2.52,3.21,1
clear of any close dangers.   ,0.2857142857142857,5.84,2.66,3.4299999999999997,4
Record information about the abscess and procedure ,0.6875,4.15,2.79,4.03,1
Signs of larger abscesses include,0.125,5.35,2.79,3.34,1
"Next, cut open the abscess ",0.25,5.07,2.79,3.21,1
"Lastly, apply anesthesia to the edge surrounding the abscess.   ",0.4375,4.65,2.79,3.21,1
Smaller abscesses are ,0.8125,4.0,2.79,3.21,1
Larger abscesses will ,0.8125,5.35,2.79,3.21,1
the abscess prior to completing the procedure.   ,0.5625,4.15,2.79,3.93,1
Smaller and larger abscesses ,0.75,5.35,2.79,3.21,1
Gather all necessary equipment required to care for the abscess.   ,0.375,4.33,2.79,4.97,1
Surround the abscess with cleaned drapes ,0.375,4.0,2.79,3.52,1
for abscesses could contain sharp or jagged objects.   ,0.75,6.05,2.79,3.21,1
Position the patient so the abscess is easily accessible. ,0.0625,4.0,2.79,3.94,1
paralysis to ,0.35714285714285715,5.07,2.9,2.1700000000000004,4
Open head injuries may also look like mangled scalp tissue.   ,0.2857142857142857,5.9,2.9,3.04,4
"This includes penetrating entry wounds, ",0.7142857142857143,6.08,2.95,3.34,4
with no exit wounds.   ,0.5714285714285714,4.0,2.95,3.05,4
Check the patient for signs and symptoms of head wounds.   ,0.14285714285714285,4.45,2.95,3.94,4
perform the incision and strainage.   ,0.375,5.15,2.95,2.1499999999999995,1
check if the patient is unresponsive.   ,0.35714285714285715,3.94,2.95,3.94,4
require an incision ,0.5625,4.9,2.95,2.1499999999999995,1
Begin preparing for assessment and treatment of head wounds.   ,0.5,4.47,2.95,3.5900000000000003,4
Look for any foreign bodies or damage to the eyeball.   ,0.5,5.43,2.98,2.1900000000000004,3
Insert the syringe slightly under the skin ,0.3125,4.81,3.05,2.5300000000000002,1
Completing this step also prevents further contamination of the eye.   ,0.25,6.71,3.11,3.93,3
Explosions and lightning ,0.6666666666666666,6.75,3.17,3.1799999999999997,2
is deformity of the head.   ,0.6428571428571429,4.71,3.18,2.11,4
Insufficient oxygen to the brain results in ,0.21428571428571427,4.9,3.24,3.19,4
"Use caution, ",0.6875,4.19,3.29,2.71,1
to inject anesthetic.   ,0.3125,4.14,3.32,2.5400000000000005,1
Symptoms also involve ,0.21428571428571427,4.17,3.33,2.5,4
Symptoms of closed head injuries also include ,0.14285714285714285,5.9,3.33,3.34,4
"To begin, determine cause and severity of casualty burns.   ",0.7777777777777778,6.3,3.33,3.5900000000000003,2
"smoke, steam, or combustion products.   ",0.5,6.26,3.44,2.05,2
feelings of restlessness.   ,0.07142857142857142,4.05,3.63,2.64,4
bandage both eyes ,0.375,3.64,3.63,3.39,3
to strain them.   ,0.6875,4.78,3.71,1.5099999999999998,1
Determine percentage of body surface area burnt ,0.6111111111111112,5.4,3.73,3.3699999999999997,2
"For thermal burns, ",0.3333333333333333,5.4,3.73,1.8800000000000003,2
"For chemical burns, ",0.3333333333333333,5.4,3.73,1.7000000000000002,2
"Once the burn process is stopped, ",0.16666666666666666,5.4,3.73,1.7200000000000002,2
and burn degree.   ,0.3333333333333333,5.4,3.73,1.6700000000000004,2
Now you must prepare to stop the burn process.  ,0.6666666666666666,5.4,3.73,1.7200000000000002,2
Cover both the injured ,0.625,5.9,3.74,2.16,3
These injuries may include ,0.1111111111111111,5.9,3.74,3.34,2
presence of carbon discoloration in the mouth.   ,0.5555555555555556,4.14,3.82,2.15,2
"singed eyebrows and eyelashes, hoarseness, and loud inhalation.   ",0.5,3.33,3.85,2.98,2
Determine if they were exposed to ,0.05555555555555555,5.89,4.14,1.75,2
Remove the body ,0.1875,4.62,4.21,2.68,3
The next step is to remove the foreign object.   ,0.1875,5.43,4.21,2.68,3
"the patient must stop, drop, and roll.   ",0.2777777777777778,4.67,4.23,3.94,2
"Recount the procedure used, ",0.3125,4.15,4.28,1.5699999999999994,1
Provide details on how the patient tolerated the procedure.   ,0.3125,4.76,4.28,3.94,1
These are caused by a hard impact to the head.   ,0.21428571428571427,5.85,4.35,1.6599999999999997,4
Pull the lower lid down or the upper lid up.   ,0.8125,4.1,4.39,3.4000000000000004,3
The lower limbs   ,0.6666666666666666,2.7,4.39,3.4000000000000004,2
