TextID,DESPC,DESSC,DESWC,DESPL,DESPLd,DESSL,DESSLd,DESWLsy,DESWLsyd,DESWLlt,DESWLltd,PCNARz,PCNARp,PCSYNz,PCSYNp,PCCNCz,PCCNCp,PCREFz,PCREFp,PCDCz,PCDCp,PCVERBz,PCVERBp,PCCONNz,PCCONNp,PCTEMPz,PCTEMPp,CRFNO1,CRFAO1,CRFSO1,CRFNOa,CRFAOa,CRFSOa,CRFCWO1,CRFCWO1d,CRFCWOa,CRFCWOad,CRFANP1,CRFANPa,LSASS1,LSASS1d,LSASSp,LSASSpd,LSAPP1,LSAPP1d,LSAGN,LSAGNd,LDTTRc,LDTTRa,LDMTLD,LDVOCD,CNCAll,CNCCaus,CNCLogic,CNCADC,CNCTemp,CNCTempx,CNCAdd,CNCPos,CNCNeg,SMCAUSv,SMCAUSvp,SMINTEp,SMCAUSr,SMINTEr,SMCAUSlsa,SMCAUSwn,SMTEMP,SYNLE,SYNNP,SYNMEDpos,SYNMEDwrd,SYNMEDlem,SYNSTRUTa,SYNSTRUTt,DRNP,DRVP,DRAP,DRPP,DRPVAL,DRNEG,DRGERUND,DRINF,WRDNOUN,WRDVERB,WRDADJ,WRDADV,WRDPRO,WRDPRP1s,WRDPRP1p,WRDPRP2,WRDPRP3s,WRDPRP3p,WRDFRQc,WRDFRQa,WRDFRQmc,WRDAOAc,WRDFAMc,WRDCNCc,WRDIMGc,WRDMEAc,WRDPOLc,WRDHYPn,WRDHYPv,WRDHYPnv,RDFRE,RDFKGL,RDL2
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\18.txt,1,1,1,1,0,1,0,1,0,2,0,-4.67899990081787,0,6.30800008773804,100,-13.5129995346069,0,2.06900000572205,98.0299987792969,-6.7189998626709,0,-11.5609998703003,0,4.53700017929077,100,-23.5049991607666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99800002574921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,-45.0309982299805
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\36.txt,1,1,1,1,0,1,0,1,0,2,0,-4.67899990081787,0,6.30800008773804,100,-13.5129995346069,0,2.06900000572205,98.0299987792969,-6.7189998626709,0,-11.5609998703003,0,4.53700017929077,100,-23.5049991607666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99800002574921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,-45.0309982299805
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\600.txt,1,1,1,1,0,1,0,1,0,3,0,-4.67899990081787,0,6.30800008773804,100,-13.5129995346069,0,2.06900000572205,98.0299987792969,-6.7189998626709,0,-11.5609998703003,0,4.53700017929077,100,-23.5049991607666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99800002574921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,-45.0309982299805
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\9.txt,1,1,1,1,0,1,0,1,0,1,0,-4.67899990081787,0,6.30800008773804,100,-13.5129995346069,0,2.06900000572205,98.0299987792969,-6.7189998626709,0,-11.5609998703003,0,4.53700017929077,100,-23.5049991607666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99800002574921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,-45.0309982299805
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\a.txt,1,1,1,1,0,1,0,1,0,1,0,-2.55200004577637,0.540000021457672,2.78299999237061,99.7300033569336,-14.6709995269775,0,2.92400002479553,99.8199996948242,-7.89099979400635,0,-4.2480001449585,0,6.48999977111816,100,-23.5620002746582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99800002574921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3600001335144,0,0,0,0,0,0,1,0,0,0,100,0,-45.0309982299805
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\about.txt,1,1,1,1,0,1,0,2,0,5,0,2.62400007247925,99.5599975585938,-0.232999995350838,40.9000015258789,-5.37400007247925,0,0.651000022888184,74.2200012207031,-4.65000009536743,0,2.31599998474121,98.9599990844727,-1.50999999046326,6.55000019073486,-26.128999710083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,2.53999996185303,2.53999996185303,2.53999996185303,0,593,227,225,300,7,0,0,0,36.6199989318848,8.39999961853027,11.3690004348755
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\abrasion.txt,1,1,1,1,0,1,0,3,0,8,0,-7.59000015258789,0,4.63399982452393,100,-11.3610000610352,0,-1.35899996757507,8.6899995803833,-5.71299982070923,0,-11.9980001449585,0,5.52799987792969,100,-24.0930004119873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.33300018310547,0,8.33300018310547,0,20.2000007629395,-45.0309982299805
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\abrasions.txt,1,1,1,1,0,1,0,3,0,9,0,-7.59000015258789,0,4.63399982452393,100,-11.3610000610352,0,-1.35899996757507,8.6899995803833,-5.71299982070923,0,-11.9980001449585,0,5.52799987792969,100,-24.0930004119873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.33300018310547,0,8.33300018310547,0,20.2000007629395,-45.0309982299805
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\abscess.txt,1,1,1,1,0,1,0,2,0,7,0,-6.69999980926514,0,3.93700003623962,100,-1.25199997425079,10.5600004196167,-0.600000023841858,27.4300003051758,-4.78599977493286,0,-8.1569995880127,0,2.29200005531311,98.9000015258789,-25.4580001831055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,533,392,538,491,0,1,8,0,8,36.6199989318848,8.39999961853027,-45.0309982299805
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\abscesses.txt,1,1,1,1,0,1,0,3,0,9,0,-7.16800022125244,0,4.05100011825562,100,-1.87800002098084,3.0699999332428,-0.841000020503998,20.0499992370605,-4.77400016784668,0,-8.38399982452393,0,2.54299998283386,99.4499969482422,-25.5450000762939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,533,392,538,491,0,1,8,0,8,0,20.2000007629395,-45.0309982299805
